,Date,BCHUSD,BTCUSD,DASHUSD,ETCUSD,ETHUSD,GASUSD_e,GNOUSD_e,LSKUSD_b,LTCUSD,NXTUSD_b,OMGUSD_e,POTUSD_b,REPUSD_e,XEMUSD_b,XMRUSD,XRPUSD_b,ZECUSD_e,ZRXUSD_e
137,2017-07-07 04,,2565,201,17.34,262.8,,323.244,2.468556,49.22,0.1212219,,0.0953154,28.19844,0.1674432,49,0.24708645,281.196,
138,2017-07-07 05,,2572.89,205,17.33,263.3,,326.492,2.4699744,49.29,0.122032173,,0.096509104,28.30475,0.167855344,48.5,0.247486289,279.098,
139,2017-07-07 06,,2536.4,201.66,17.15,259,,326.34,2.38979608,47.8,0.120935552,,0.094556992,27.9979,0.16575374,47.3,0.243418308,274.54,
140,2017-07-07 07,,2520.73,195,17,253.94,,319.9644,2.32663379,47.14,0.119986748,,0.093670327,27.55249,0.16422556,46.7,0.239998703,269.1764,
141,2017-07-07 08,,2520.71,194.9,16.9,254.5,,320.67,2.38207095,47.19,0.119935382,,0.094098104,27.3333,0.160745677,46.46,0.237652539,267.225,
142,2017-07-07 09,,2520.22,194,16.8,254,,317.5,2.298188618,47.35,0.120441314,,0.094911485,27.3304,0.160437205,47.1,0.237530735,264.16,
143,2017-07-07 10,,2521.67,196,16.89,254.68,,318.35,2.349692106,48.22,0.119224558,,0.095571293,27.50544,0.160226912,47.13,0.240214284,264.8672,
144,2017-07-07 11,,2484,191.69,16.54,247.5,,311.85,2.262924,45.8,0.11143224,,0.09411876,26.9775,0.1550016,45.49,0.23404248,259.875,
145,2017-07-07 12,,2490,189.79,16.46,246.67,,313.2709,2.261667,46.25,0.1086636,,0.0912834,26.64036,0.1543302,44.97,0.2326656,259.0035,
146,2017-07-07 13,,2482.22,189,16.35,241.59,,309.2352,2.246657322,45.4,0.107356015,,0.090998185,25.995084,0.152408308,44.1,0.228736573,253.6695,
147,2017-07-07 14,,2484,187.32,16.3,243.5,,309.245,2.2601916,46.17,0.10790496,,0.09896256,25.324,0.1525176,44.99,0.2298942,253.24,
148,2017-07-07 15,,2500,189.77,16.16,242.35,,307.7845,2.2495,46.37,0.10665,,0.092525,24.501585,0.154025,44.37,0.23105,252.044,
149,2017-07-07 16,,2494.53,192,16.31,245,,306.25,2.271519018,46.77,0.107314681,,0.09601446,24.843,0.156382086,45.13,0.233163719,257.25,
150,2017-07-07 17,,2509.46,195.41,16.39,249.6,,312,2.26604238,47.19,0.109738686,,0.1003784,24.96,0.155561425,45,0.235387348,259.584,
151,2017-07-07 18,,2496.25,195.84,16.35,245.9,,304.916,2.2775785,46.9,0.106390175,,0.0992509,24.98344,0.15446795,45.22,0.232176213,258.195,
