Date,BTC/USD,LTC/USD,ETH/USD,DASH/USD,ETC/USD,XMR/USD,XRP/USD,BCH/USD
2018-04-13 04-PM,8132.14,131.3,517,378.07,16.43,199.21,0.687897723,763.61
2018-04-13 03-PM,8108.55,130.43,513.3,379.97,16.4,196.32,0.67300965,762.22
2018-04-13 02-PM,8089.17,130.85,519.17,375.62,16.49,195.69,0.674636778,756.65
2018-04-13 01-PM,8196.99,133.31,527,390,16.7,201.28,0.687563521,780
2018-04-13 12-PM,8094,131.49,518,388.8,16.43,196.77,0.6491388,775
2018-04-13 11-AM,8061.33,129.9,515.87,382,16.31,196.3,0.648130932,764
2018-04-13 10-AM,8052.7,128.38,511.05,372.82,16.2,194.03,0.638095948,754
2018-04-13 09-AM,8130,130.32,523,375,16.46,194.39,0.6477171,765.01
2018-04-13 08-AM,8095.78,130.73,513,361,16.36,195.01,0.651143585,762.97
2018-04-13 07-AM,7836.01,126.88,491.3,354,16.14,189.75,0.628056202,743.75
