Date,DASH/BTC,ETC/BTC,ETH/BTC,LTC/BTC,XMR/BTC,XRP/BTC
2018-04-17 10-AM,0.04592,0.002021,0.06371,0.01685,0.02451,0.000083390
2018-04-17 09-AM,0.04615,0.002021,0.06351,0.01673,0.02446,0.000083380
2018-04-17 08-AM,0.04549,0.002009,0.06335,0.0166,0.02432,0.000082820
2018-04-17 07-AM,0.04536,0.002016,0.06329,0.01656,0.02423,0.000082170
2018-04-17 06-AM,0.04527,0.002015,0.0634,0.01619,0.02421,0.000082410
2018-04-17 05-AM,0.04506,0.00202,0.0632,0.01614,0.0242,0.000082300
2018-04-17 04-AM,0.04487,0.002018,0.06313,0.01624,0.02413,0.000082380
2018-04-17 03-AM,0.04486,0.002011,0.06319,0.01627,0.0241,0.000081880
2018-04-17 02-AM,0.04511,0.002006,0.06327,0.01627,0.02407,0.000081960
2018-04-17 01-AM,0.04502,0.002021,0.06325,0.01625,0.02417,0.000082290
2018-04-17 12-AM,0.04527,0.002007,0.06352,0.016,0.02406,0.000082150
2018-04-16 11-PM,0.04504,0.001993,0.06338,0.01593,0.02397,0.000081790
2018-04-16 10-PM,0.04503,0.001993,0.06304,0.01597,0.02398,0.000082270
2018-04-16 09-PM,0.04497,0.001993,0.063,0.01603,0.024,0.000082300
2018-04-16 08-PM,0.045,0.002,0.06309,0.01597,0.02396,0.000081910
2018-04-16 07-PM,0.04492,0.002,0.063,0.01593,0.02392,0.000082360
2018-04-16 06-PM,0.045,0.00199,0.06319,0.0159,0.02385,0.000082320
2018-04-16 05-PM,0.04491,0.001978,0.06302,0.0159,0.02388,0.000080830
2018-04-16 04-PM,0.04474,0.001984,0.06323,0.01589,0.02387,0.000081100
2018-04-16 03-PM,0.04472,0.001979,0.06303,0.01591,0.02381,0.000081590
2018-04-16 02-PM,0.0449,0.001979,0.06303,0.0158,0.02383,0.000081000
2018-04-16 01-PM,0.04515,0.00199,0.06312,0.01586,0.02396,0.000080930
2018-04-16 12-PM,0.04549,0.001985,0.06337,0.0158,0.024,0.000081640
2018-04-16 11-AM,0.04508,0.001983,0.06334,0.01579,0.02401,0.000081590
2018-04-16 10-AM,0.04502,0.001986,0.06341,0.01583,0.024,0.000081890
2018-04-16 09-AM,0.04488,0.001986,0.0635,0.01575,0.0241,0.000082010
2018-04-16 08-AM,0.045,0.00198,0.06341,0.01575,0.02395,0.000081900
2018-04-16 07-AM,0.04479,0.001975,0.0631,0.01572,0.02382,0.000081450
2018-04-16 06-AM,0.04489,0.001982,0.06301,0.01573,0.02382,0.000081740
2018-04-16 05-AM,0.0448,0.001992,0.0631,0.01577,0.02408,0.000082290
2018-04-16 04-AM,0.04501,0.001998,0.06344,0.01573,0.02423,0.000082290
2018-04-16 03-AM,0.045,0.002001,0.0632,0.01568,0.02408,0.000081990
2018-04-16 02-AM,0.04556,0.00202,0.06323,0.01582,0.02398,0.000082240
2018-04-16 01-AM,0.04552,0.002011,0.06369,0.01588,0.02413,0.000082570
2018-04-16 12-AM,0.04589,0.002017,0.06385,0.01588,0.02409,0.000083000
2018-04-15 11-PM,0.04591,0.002008,0.06339,0.01582,0.02402,0.000082960
2018-04-15 10-PM,0.04602,0.002008,0.06306,0.0158,0.02404,0.000082150
2018-04-15 09-PM,0.04615,0.002008,0.0632,0.01577,0.02403,0.000082630
2018-04-15 08-PM,0.04597,0.002015,0.06301,0.01577,0.02409,0.000082160
2018-04-15 07-PM,0.0457,0.002014,0.06333,0.01577,0.02407,0.000082230
2018-04-15 06-PM,0.04591,0.002006,0.0635,0.0158,0.02407,0.000081920
2018-04-15 05-PM,0.04578,0.002001,0.0632,0.01578,0.02403,0.000082010
2018-04-15 04-PM,0.04577,0.00201,0.0632,0.01575,0.0241,0.000081650
2018-04-15 03-PM,0.04593,0.00201,0.0632,0.01581,0.02428,0.000082010
2018-04-15 02-PM,0.04568,0.002024,0.06325,0.01585,0.02432,0.000082250
2018-04-15 01-PM,0.04607,0.002019,0.06287,0.01583,0.02432,0.000082560
2018-04-15 12-PM,0.04547,0.002004,0.06259,0.01587,0.02438,0.000081940
2018-04-15 11-AM,0.04566,0.002029,0.06304,0.01597,0.02413,0.000080800
2018-04-15 10-AM,0.04519,0.002025,0.06303,0.01596,0.02392,0.000081200
2018-04-15 09-AM,0.04475,0.002,0.06285,0.01591,0.02406,0.000080970
